driver_active_count,driver_completed_count,driver_declined_count,driver_failed_count,driver_avg_rating,driver_total_ratings,driver_points,customer_total_orders,customer_points,order_hour,order_day_of_week,order_type,dropoff_city,payment_method,label
0,70,15,7,3.4,13,89,54,32,7,5,online,jerusalem,cash,1
1,50,45,17,2.6,28,603,35,6,7,4,food,bethlehem,cash,0
0,39,13,10,4.9,24,618,33,44,17,2,online,ramallah,cash,0
1,160,39,11,5.0,8,46,29,296,16,6,package,jerusalem,cash,0
1,162,23,5,3.9,26,699,9,175,15,3,food,ramallah,cash,0
0,163,44,17,3.4,41,863,7,234,19,2,food,ramallah,cash,0
0,145,45,10,3.2,63,469,18,271,9,1,package,haifa,cash,0
4,102,23,7,5.0,17,521,63,93,20,4,online,bethlehem,cash,0
1,174,27,2,5.0,76,566,1,117,12,6,food,nablus,cash,0
0,111,10,14,4.4,33,512,22,519,10,2,online,haifa,cash,0
4,95,10,17,5.0,67,500,2,114,13,1,online,bethlehem,cash,0
2,20,5,15,3.1,24,545,16,131,14,4,food,jerusalem,cash,0
2,138,44,6,5.0,51,448,66,462,20,1,package,bethlehem,cash,1
0,141,14,18,4.4,9,724,7,234,7,4,food,haifa,cash,1
0,71,42,15,3.9,16,590,60,248,23,1,package,jerusalem,cash,0
1,110,22,13,3.0,6,689,12,62,10,5,food,jerusalem,cash,0
1,137,28,4,3.0,35,77,56,563,13,1,food,tel aviv,cash,1
3,124,30,6,4.7,7,168,48,2,12,3,food,tel aviv,cash,0
0,142,42,15,4.4,37,753,69,62,20,5,package,haifa,cash,0
4,135,10,1,4.6,10,871,23,70,22,4,food,bethlehem,cash,0
1,152,2,2,3.8,74,267,26,321,14,4,package,jerusalem,cash,1
1,80,4,0,4.0,72,102,9,550,16,3,food,nablus,cash,1
1,94,18,5,4.1,69,826,67,8,9,1,food,haifa,cash,0
0,29,6,17,2.8,18,619,26,351,11,2,online,jerusalem,cash,0
2,13,5,13,4.7,1,652,33,165,15,6,online,ramallah,cash,0
0,176,9,17,4.4,47,596,70,151,10,0,online,jerusalem,cash,0
2,53,43,7,4.2,22,416,19,242,8,2,package,haifa,cash,0
0,85,26,7,2.8,13,391,4,481,12,5,package,jerusalem,cash,0
1,6,42,6,4.7,4,285,44,521,14,1,package,haifa,cash,0
0,148,16,1,3.0,55,353,40,446,15,1,food,jerusalem,cash,0
0,11,45,13,3.3,6,680,42,321,13,2,package,bethlehem,cash,0
1,170,26,10,4.6,37,567,16,196,23,2,online,haifa,cash,0
1,145,19,12,0.0,0,311,36,215,12,4,online,nablus,cash,0
2,54,32,15,3.8,50,290,65,343,21,5,package,ramallah,cash,0
0,50,9,0,2.9,30,625,9,466,14,6,online,haifa,cash,1
2,102,15,4,0.0,0,768,13,435,19,3,online,nablus,cash,0
2,31,29,4,4.6,33,773,56,516,14,6,food,bethlehem,cash,0
2,66,15,8,4.0,66,496,30,281,22,3,food,nablus,cash,0
0,138,5,4,4.0,49,65,53,417,17,2,food,haifa,cash,1
3,107,24,18,3.4,2,877,48,488,13,6,package,jerusalem,cash,1
1,139,38,7,4.2,34,344,51,169,20,4,package,ramallah,cash,0
0,151,36,0,4.5,54,138,59,186,7,3,online,bethlehem,cash,1
2,86,24,8,4.3,53,19,69,53,21,2,package,tel aviv,cash,0
3,166,2,0,4.7,25,859,2,156,9,6,food,nablus,cash,1
0,179,16,11,5.0,77,796,20,318,13,3,online,jerusalem,cash,1
2,50,4,18,3.6,40,248,13,308,19,3,package,bethlehem,cash,0
0,109,42,11,5.0,43,501,13,443,18,4,online,jerusalem,cash,0
1,133,41,8,4.5,68,793,61,476,20,1,online,tel aviv,cash,0
1,115,15,14,4.0,48,332,23,499,9,2,package,tel aviv,cash,0
0,2,33,6,4.1,6,500,30,487,15,4,package,haifa,cash,0
0,56,25,7,3.4,37,352,54,563,9,2,package,jerusalem,cash,0
0,30,12,10,4.4,34,780,23,196,15,1,package,haifa,cash,1
0,72,6,6,4.2,46,546,16,280,23,4,package,nablus,cash,1
1,125,6,0,4.5,60,490,56,348,11,5,online,haifa,cash,1
0,16,25,15,3.4,20,830,38,87,10,6,package,ramallah,cash,0
3,133,24,14,4.0,38,880,54,312,14,6,online,ramallah,cash,0
0,53,40,6,4.2,5,76,20,2,10,6,online,nablus,cash,0
0,180,18,14,4.8,29,270,25,435,14,2,package,jerusalem,cash,1
0,36,4,1,2.7,19,295,56,127,15,6,online,tel aviv,cash,1
0,138,31,14,3.7,5,442,41,256,15,4,online,ramallah,cash,1
0,172,17,18,3.4,22,284,23,599,7,6,online,bethlehem,cash,0
3,85,20,3,4.4,42,421,63,295,18,3,food,ramallah,cash,0
0,80,16,10,5.0,51,1,69,473,21,0,online,jerusalem,cash,1
0,113,3,6,3.4,16,294,56,496,22,5,online,haifa,cash,1
0,3,35,13,3.1,1,852,19,510,16,4,online,tel aviv,cash,0
1,123,30,7,4.5,18,392,24,520,15,3,online,nablus,cash,0
0,129,17,0,4.9,38,675,62,152,20,2,food,haifa,cash,1
1,82,12,7,3.4,29,876,52,44,19,3,package,haifa,cash,0
4,166,9,15,3.5,16,890,12,450,19,5,online,ramallah,cash,0
1,167,9,2,4.4,33,346,50,82,11,3,food,nablus,cash,0
0,138,2,2,5.0,36,444,12,102,22,6,package,nablus,cash,1
1,14,18,11,3.5,4,250,67,421,17,6,food,jerusalem,cash,0
1,97,39,7,4.9,74,260,58,261,9,4,food,tel aviv,cash,0
0,113,22,18,5.0,54,706,32,467,12,0,package,nablus,cash,0
1,97,36,11,5.0,37,405,35,8,10,1,package,ramallah,cash,0
0,73,14,11,4.3,24,635,32,140,22,6,online,nablus,cash,0
3,93,8,2,4.3,41,135,69,374,8,4,package,ramallah,cash,0
1,75,21,3,3.7,9,144,28,406,22,6,food,haifa,cash,0
1,137,7,14,3.3,33,380,13,239,7,2,food,ramallah,cash,0
1,118,44,9,3.7,14,143,5,38,9,5,online,tel aviv,cash,0
1,34,24,14,2.7,34,158,53,101,14,4,food,jerusalem,cash,0
3,113,28,7,5.0,12,702,47,557,18,1,package,jerusalem,cash,0
2,31,29,2,4.3,1,128,26,70,15,1,food,ramallah,cash,0
0,37,38,0,4.0,9,133,69,256,14,2,online,tel aviv,cash,0
0,91,15,18,4.3,22,431,67,116,11,0,online,jerusalem,cash,0
